Title,Cuisine,Menu,Weekdays,Sunday,Area,Rating,Reviews,Yelp
Fig & Olive - Downtown,Mediterranean,True,LD,D,Meatpacking District,3.5,881,http://www.yelp.com/biz/fig-and-olive-new-york-2
Fig & Olive - Midtown,Mediterranean,True,LD,D,Midtown East,3.5,663,http://www.yelp.com/biz/fig-and-olive-new-york-3
Fig & Olive - Uptown,Mediterranean,True,LD,D,Upper East Side,3.5,295,http://www.yelp.com/biz/fig-and-olive-new-york
Fino Ristorante Italiano,Italian,True,LD,None,Financial District,4.0,208,http://www.yelp.com/biz/barbone-new-york
FishTag,Seafood,True,D,D,Upper West Side,4.0,299,http://www.yelp.com/biz/fishtag-new-york
Fogo de Chao Churrascaria Brazilian Steakhouse,Brazilian,True,LD,None,Midtown West,4.0,357,http://www.yelp.com/biz/fogo-de-ch%C3%A3o-brazilian-steakhouse-new-york-2
Fonda,Mexican,False,D,D,East Village,4.0,400,http://www.yelp.com/biz/fonda-new-york
The Fourth Restaurant,American New,True,LD,D,Union Square,3.5,386,http://www.yelp.com/biz/four-burgers-cambridge
Frankie & Johnnie's Steakhouse - 37th Street,Steakhouse,True,LD,None,Midtown West,3.5,89,http://www.yelp.com/biz/frankie-and-johnnies-steak-house-new-york
Fung Tu,Chinese,True,D,None,Lower East Side,4.0,96,http://www.yelp.com/biz/fung-tu-new-york
Gabriel's Bar & Restaurant,Italian,True,LD,None,Upper West Side,4.0,78,http://www.yelp.com/biz/gabriels-bar-and-restaurant-new-york
Gaby Brasserie Francaise,French,True,LD,D,Midtown West,3.5,1514,http://www.yelp.com/biz/les-halles-new-york-2
Gallaghers Steakhouse,Steakhouse,False,L,None,Times Square,4.0,177,http://www.yelp.com/biz/gallaghers-steakhouse-new-york
The Gander,American New,True,LD,None,Flatiron District,4.0,151,http://www.yelp.com/biz/the-gander-new-york
Gaonnuri,Korean,True,LD,D,Koreatown,3.5,361,http://www.yelp.com/biz/gaonnuri-new-york-3
Giorgio's of Gramercy,American New,True,LD,D,Gramercy,4.0,513,http://www.yelp.com/biz/giorgios-of-gramercy-new-york
Giovanni Rana Pastificio & Cucina,Italian,False,D,D,Chelsea,3.5,344,http://www.yelp.com/biz/giovanni-rana-pastificio-and-cucina-new-york
Glass House Tavern,American New,True,LD,D,Times Square,3.5,162,http://www.yelp.com/biz/glass-house-tavern-new-york
The Gorbals Brooklyn,American New,False,D,None,Williamsburg,4.0,88,http://www.yelp.com/biz/the-gorbals-brooklyn
Gotham Bar & Grill,American New,False,L,None,Greenwich Village,4.5,1024,http://www.yelp.com/biz/gotham-bar-and-grill-new-york
Gran Morsi,Italian,True,D,None,Financial District,4.5,61,http://www.yelp.com/biz/gran-morsi-new-york
Grape & Vine,American New,True,LD,D,Greenwich Village,3.5,68,http://www.yelp.com/biz/grape-and-vine-new-york-2
Grotta Azzurra Restaurant,Italian,True,LD,D,Little Italy,3.0,299,http://www.yelp.com/biz/grotta-azzurra-new-york
Hakkasan New York,Chinese,True,D,D,Hell's Kitchen,3.5,430,http://www.yelp.com/biz/hakkasan-new-york
HanGawi,Korean,True,L,D,Midtown East,4.0,674,http://www.yelp.com/biz/hangawi-new-york
Harlow,Seafood,True,LD,None,Midtown East,3.5,71,http://www.yelp.com/biz/harlow-new-york-2
Haru Amsterdam Avenue,Japanese,False,D,D,Upper West Side,3.5,146,http://www.yelp.com/biz/haru-sushi-new-york
Haru Gramercy Park,Japanese,True,LD,D,Union Square,3.5,419,http://www.yelp.com/biz/haru-boston
Haru Third Avenue,Japanese,True,LD,D,Upper East Side,4.0,109,http://www.yelp.com/biz/sushi-suki-new-york
Hatsuhana Sushi Restaurant,Japanese,False,LD,None,Midtown East,4.0,701,http://www.yelp.com/biz/hatsuhana-sushi-restaurant-new-york
Haveli,Indian,True,LD,D,Forest Hills/Rego Park,3.5,164,http://www.yelp.com/biz/haveli-forest-hills-2
i Trulli Ristorante/Enoteca,Italian,True,LD,D,NoMad,None,None,None
Il Buco Alimentari & Vineria,Italian,True,L,None,NoHo,3.5,323,http://www.yelp.com/biz/il-buco-alimentari-e-vineria-new-york
Il Cantinori Restaurant,Italian,True,LD,D,Greenwich Village,4.0,143,http://www.yelp.com/biz/il-cantinori-new-york
Il Mulino New York-Downtown,Italian,False,L,None,Greenwich Village,4.5,1024,http://www.yelp.com/biz/gotham-bar-and-grill-new-york
Il Mulino New York-Uptown,Italian,False,L,None,Upper East Side,None,None,None
Il Mulino Prime,Steakhouse,False,LD,D,SoHo,3.0,39,http://www.yelp.com/biz/il-mulino-prime-new-york
Il Mulino Trattoria,Italian,False,LD,D,Gramercy,3.5,100,http://www.yelp.com/biz/trattoria-il-mulino-new-york
ilili Restaurant,Mediterranean,False,LD,None,NoMad,4.0,1540,http://www.yelp.com/biz/ilili-new-york-2
Inakaya New York,Japanese,True,D,D,Times Square,3.5,278,http://www.yelp.com/biz/inakaya-new-york
Indochine,Vietnamese,True,D,D,NoHo,3.5,238,http://www.yelp.com/biz/indochine-new-york
Isabella's,Mediterranean,True,LD,None,Upper West Side,3.5,623,http://www.yelp.com/biz/isabellas-new-york
JoJo,French,False,LD,D,Upper East Side,4.0,442,http://www.yelp.com/biz/jojo-new-york
Junoon,Indian,True,LD,D,Chelsea,4.0,718,http://www.yelp.com/biz/junoon-new-york
Kefi,Greek,True,LD,D,Upper West Side,4.0,1016,http://www.yelp.com/biz/kefi-new-york-2
Kellari Taverna,Greek,True,D,D,Midtown West,3.5,305,http://www.yelp.com/biz/kellari-taverna-new-york
Ken & Cook,American New,True,LD,D,NoLIta,4.0,250,http://www.yelp.com/biz/ken-and-cook-new-york
Kin Shop,Thai,True,LD,D,Greenwich Village,3.5,380,http://www.yelp.com/biz/kin-shop-new-york
Koi SoHo,Asian Fusion,True,LD,D,Hudson Square,3.5,86,http://www.yelp.com/biz/koi-soho-new-york
Kristalbelli,Korean,True,LD,D,Koreatown,4.0,241,http://www.yelp.com/biz/kristalbelli-new-york
L'Ecole, The Restaurant of The International Culinary Center,Continental,True,LD,None,SoHo,4.0,485,http://www.yelp.com/biz/l-ecole-new-york
La Fonda Del Sol,Spanish,True,LD,None,Midtown East,3.5,225,http://www.yelp.com/biz/la-fonda-del-sol-new-york
La Loteria,Mexican,False,D,D,West Village,4.0,62,http://www.yelp.com/biz/la-loteria-new-york
La Masseria,Italian,True,LD,D,Times Square,4.0,293,http://www.yelp.com/biz/la-masseria-new-york
Lafayette,French,False,LD,D,NoHo,3.5,439,http://www.yelp.com/biz/lafayette-new-york-2
The Lambs Club Bar,American New,True,LD,None,Times Square,3.5,278,http://www.yelp.com/biz/the-lambs-club-new-york
Lavo Restaurant,Italian,True,LD,None,Midtown East,3.0,559,http://www.yelp.com/biz/lavo-new-york
Le Cirque,French,True,LD,None,Midtown East,3.5,699,http://www.yelp.com/biz/le-cirque-new-york
Le Colonial,Vietnamese,True,LD,D,Midtown East,3.5,162,http://www.yelp.com/biz/le-colonial-new-york
Le Perigord,French,False,LD,D,Midtown East,3.5,129,http://www.yelp.com/biz/le-perigord-new-york
Le Philosophe,French,True,D,D,NoHo,4.0,234,http://www.yelp.com/biz/le-philosophe-new-york
Left Bank,American New,True,D,D,West Village,4.0,152,http://www.yelp.com/biz/left-bank-new-york
The Leopard at des Artistes,Italian,True,D,D,Upper West Side,4.0,101,http://www.yelp.com/biz/the-leopard-at-des-artistes-new-york
Les Halles,French,False,LD,D,NoMad,3.5,1514,http://www.yelp.com/biz/les-halles-new-york-2
Les Halles - Downtown,French,False,LD,None,Financial District,3.5,599,http://www.yelp.com/biz/brasserie-les-halles-new-york-2
Lexington Brass,American New,False,D,D,Midtown East,3.5,398,http://www.yelp.com/biz/lexington-brass-new-york
The Library at The Public,American New,True,D,None,NoHo,4.0,100,http://www.yelp.com/biz/the-library-at-the-public-new-york
Lido,Italian,True,LD,None,Harlem,4.0,443,http://www.yelp.com/biz/lido-new-york
Limani,Mediterranean,True,LD,D,Midtown West,4.0,43,http://www.yelp.com/biz/limani-new-york
Lincoln Center Kitchen,American New,False,D,None,Upper West Side,2.5,6,http://www.yelp.com/biz/lincoln-center-kitchen-new-york-2
Lincoln Ristorante,Italian,True,L,None,Upper West Side,4.0,315,http://www.yelp.com/biz/lincoln-ristorante-new-york
The Lion,American Traditional,True,D,D,Greenwich Village,3.5,228,http://www.yelp.com/biz/the-lion-new-york
Little Park,American New,True,L,None,TriBeCa,4.0,110,http://www.yelp.com/biz/little-park-new-york
Lupa Osteria Romana,Italian,True,L,None,Greenwich Village,4.0,1048,http://www.yelp.com/biz/lupa-new-york
Lure Fishbar,Seafood,True,LD,D,SoHo,4.0,1024,http://www.yelp.com/biz/lure-fishbar-new-york
Macelleria,Steakhouse,True,LD,D,Meatpacking District,3.0,169,http://www.yelp.com/biz/macelleria-new-york
Macondo West,Latin American,True,D,D,West Village,3.5,70,http://www.yelp.com/biz/macondo-west-new-york
Maloney & Porcelli,Steakhouse,True,D,None,Midtown East,4.0,250,http://www.yelp.com/biz/maloney-and-porcelli-new-york
Manzo at Eataly,Italian,True,LD,None,Flatiron District,4.0,185,http://www.yelp.com/biz/manzo-new-york
MarkJoseph Steakhouse,Steakhouse,True,LD,D,Financial District,4.0,205,http://www.yelp.com/biz/markjoseph-steakhouse-new-york-2
Marseille,French,True,LD,D,Hell's Kitchen,3.5,556,http://www.yelp.com/biz/marseille-new-york
Masseria dei Vini,Italian,True,LD,D,Hell's Kitchen,4.5,107,http://www.yelp.com/biz/masseria-dei-vini-new-york
Match 65 Brasserie,French,True,LD,D,Upper East Side,3.5,68,http://www.yelp.com/biz/match-65-new-york-2
Maya,Mexican,True,LD,D,Upper East Side,3.5,441,http://www.yelp.com/biz/maya-new-york
Maze by Gordon Ramsay,French,False,L,None,Midtown West,3.5,551,http://www.yelp.com/biz/maze-by-gordon-ramsay-new-york
Mercer Kitchen,American New,False,LD,D,SoHo,3.5,992,http://www.yelp.com/biz/the-mercer-kitchen-new-york-5
Mezzogiorno Restaurant,Italian,True,LD,D,SoHo,3.5,109,http://www.yelp.com/biz/mezzogiorno-new-york
Michael Jordan's The Steak House N.Y.C.,Steakhouse,True,LD,D,Midtown East,3.0,266,http://www.yelp.com/biz/michael-jordans-the-steak-house-nyc-new-york
Michael's Restaurant,American New,False,LD,None,Midtown West,3.5,55,http://www.yelp.com/biz/michaels-new-york
Mint Restaurant,Indian,False,LD,D,Midtown East,3.0,182,http://www.yelp.com/biz/mint-new-york-3
Minton's,Soul Food/Southern,True,D,D,Harlem,4.0,78,http://www.yelp.com/biz/mintons-new-york
Miss Lily's,Caribbean,True,D,D,Greenwich Village,3.5,512,http://www.yelp.com/biz/miss-lilys-new-york
Miss Lily's 7A,Caribbean,True,LD,D,East Village,3.5,125,http://www.yelp.com/biz/miss-lilys-7a-cafe-new-york
Molyvos Restaurant,Greek,True,LD,D,Midtown West,3.5,299,http://www.yelp.com/biz/molyvos-new-york
Monkey Bar,American Traditional,True,LD,None,Midtown East,3.5,177,http://www.yelp.com/biz/monkey-bar-new-york
Montebello Restaurant,Italian,True,LD,None,Midtown East,3.0,54,http://www.yelp.com/biz/montebello-ristorante-italiano-new-york
The Morgan Dining Room,American New,False,L,None,Murray Hill,4.0,8,http://www.yelp.com/biz/the-morgan-dining-room-new-york
Morimoto NY,Japanese,True,L,None,Meatpacking District,4.0,2172,http://www.yelp.com/biz/morimoto-new-york
